countries,2022-2023(Apr-Dec),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
KYRGHYZSTAN,,0.03,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.01,0.0,0.01,0.01,0.0,,,0.0,,,0.01,0.23,,0.13,0.11,,0.03
KENYA,0.42,0.66,0.54,0.99,0.88,1.13,1.34,1.13,2.41,2.32,2.19,2.61,1.67,1.95,1.54,1.17,0.5,0.21,0.08,0.84,0.41,0.11,0.15,0.05,0.01,0.1
KAZAKHSTAN,0.08,0.03,0.1,0.05,0.05,0.04,0.02,0.02,0.04,0.04,0.04,0.41,0.59,0.5,1.07,0.0,0.0,0.02,0.26,1.07,1.27,0.74,0.63,0.2,2.78,0.27
GHANA,0.29,0.47,0.57,0.38,0.68,0.67,0.65,0.96,1.03,1.1,1.15,1.45,1.31,1.71,5.1,2.22,2.92,1.16,2.9,2.14,1.81,1.36,0.87,0.51,0.22,0.04
GREECE,,0.05,,,,0.06,0.04,0.01,0.0,0.0,,0.01,,,,0.0,,,0.05,0.04,,0.0,0.01,,0.0,0.03
GRENADA,0.0,,,0.0,0.0,,0.0,0.01,,,,,,,,,,,,,,,,,,
GUADELOUPE,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,0.03,,,,,
GUATEMALA,0.01,0.03,0.05,0.02,0.01,0.01,0.09,0.05,0.02,0.03,0.07,0.08,0.03,0.03,0.06,0.09,0.13,0.08,0.24,0.1,0.27,0.04,,,,
GUINEA,0.04,0.02,0.01,0.03,0.0,0.02,0.01,0.01,0.01,0.02,0.07,0.04,0.08,0.14,0.06,0.04,0.03,0.19,0.03,0.1,0.01,0.04,0.01,0.03,,0.05
GUYANA,0.0,0.01,0.02,0.0,0.01,0.0,0.0,0.01,0.0,0.0,,0.0,0.02,,,0.0,,,,,,0.04,,,0.01,
HONDURAS,0.0,0.0,,,0.04,,,,,,0.03,0.11,0.12,0.16,0.14,0.07,0.19,0.16,0.2,0.27,0.27,0.3,0.36,0.05,,
GEORGIA,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.01,0.0,0.01,0.0,0.04,,,0.01,,,,,,,,,,,
HUNGARY,0.01,0.06,0.02,0.13,0.05,0.0,0.09,0.22,0.18,0.06,0.07,0.26,,0.03,0.0,,,0.03,,,,,,,,
HONG KONG,0.12,0.08,0.09,0.04,0.05,0.32,0.1,0.01,0.02,0.01,0.02,0.05,0.15,0.18,0.03,0.02,,0.06,0.03,0.04,0.06,0.05,0.12,0.18,0.06,0.16
IRAN,0.02,0.0,,,0.12,0.1,0.27,0.45,0.25,0.03,3.73,5.83,3.51,3.34,0.76,0.08,0.13,0.04,0.13,0.3,0.42,,,0.04,,0.04
IRAQ,2.12,0.22,0.01,0.07,0.12,0.13,0.11,0.12,0.01,0.11,0.01,,0.11,0.03,0.09,0.0,0.02,,,,,,,0.52,,
IRELAND,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.03,,,0.0,0.01,,0.02,,,,,
ISRAEL,0.06,0.14,0.03,0.06,0.0,0.05,0.07,0.18,0.09,0.05,0.05,0.02,0.01,,0.11,0.13,,0.1,0.09,0.02,,0.51,0.27,0.18,,0.0
ITALY,0.03,0.05,0.08,0.11,0.05,0.13,0.17,0.14,0.12,0.04,0.09,0.07,0.11,0.25,4.54,8.04,5.05,4.55,0.65,0.06,0.06,0.03,0.01,0.0,,0.01
COTE D' IVOIRE,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,,0.07,,0.0,0.0,0.04,0.0,,0.02,0.01,0.8,0.63,0.22,0.16,0.02,0.11,0.02
JAMAICA,0.19,0.13,0.26,0.39,0.21,0.3,0.28,0.32,0.32,0.33,0.62,0.55,0.54,0.43,0.17,0.09,0.14,0.19,0.26,0.3,0.37,0.16,0.02,,,
JAPAN,0.01,0.02,0.02,0.06,0.04,0.1,0.02,0.01,0.01,0.01,0.0,0.0,0.11,0.0,0.0,0.01,,0.11,0.0,0.06,0.0,0.0,0.03,0.01,0.16,0.01
JORDAN,0.23,0.05,0.04,0.05,0.04,0.0,,0.0,0.08,0.05,0.09,0.0,0.02,0.01,0.04,0.0,0.02,0.04,0.01,0.07,0.04,,,,,
INDONESIA,0.25,0.41,0.04,0.08,0.25,0.48,0.06,0.13,1.63,0.11,,0.0,0.02,0.09,0.01,0.0,,,,0.08,0.0,0.03,0.06,0.04,,0.01
SAMOA,,,,,,,,,,,,,,,,,,,,,,,0.0,,,
%Share,0.0179,0.0176,0.0238,0.024,0.0218,0.0249,0.0232,0.0189,0.0155,0.0133,0.0138,0.0156,0.016,0.0237,0.0295,0.0265,0.029,0.0296,0.0273,0.0592,0.0741,0.1005,0.088,0.0656,0.0597,0.0741
India's Total,336365.56,422004.4,291808.48,313361.04,330078.09,303526.16,275852.43,262291.09,310338.48,314405.3,300400.58,305963.92,249815.55,178751.43,185295.36,163132.18,126414.05,103090.53,83535.94,63842.55,52719.43,43826.72,44560.29,36822.49,33218.72,34784.98
Total,60.35,74.3,69.36,75.25,71.88,75.43,63.86,49.6,48.08,41.67,41.43,47.63,39.87,42.39,54.7,43.28,36.72,30.55,22.84,37.76,39.06,44.03,39.19,24.15,19.84,25.77
