countries,2022-2023(Apr-Dec),2021-2022,2020-2021,2019-2020,2018-2019,2017-2018,2016-2017,2015-2016,2014-2015,2013-2014,2012-2013,2011-2012,2010-2011,2009-2010,2008-2009,2007-2008,2006-2007,2005-2006,2004-2005,2003-2004,2002-2003,2001-2002,2000-2001,1999-2000,1998-1999,1997-1998
TANZANIA REP,0.56,0.3,0.45,0.39,0.46,0.41,0.38,0.41,0.88,0.8,0.76,1.18,1.12,1.54,1.32,0.82,0.62,0.55,0.54,0.11,0.09,0.21,0.13,0.11,0.04,0.09
THAILAND,0.24,0.72,0.18,0.36,0.47,0.46,0.36,0.46,0.53,0.51,0.71,0.71,0.83,0.18,0.64,0.09,0.09,0.35,0.03,0.14,0.26,0.12,0.16,0.08,0.08,0.01
TOGO,0.11,0.01,0.0,0.05,0.03,0.01,0.05,0.12,0.07,0.02,0.01,0.01,0.01,0.05,0.01,0.01,0.01,0.01,,0.01,,0.0,,,0.0,
TONGA,,0.0,0.0,,0.0,,,,,,0.01,,,,,,,0.0,,0.01,,,,,,
TRINIDAD,0.54,0.35,0.25,0.28,0.24,0.38,0.22,0.31,0.28,0.23,0.53,0.27,0.21,0.12,0.14,0.11,0.13,0.15,0.18,0.1,0.05,0.08,0.12,0.02,0.01,0.1
TURKEY,0.08,0.02,0.16,0.24,0.24,0.84,0.56,1.38,1.28,0.43,0.88,1.32,2.27,1.91,3.24,,0.0,0.12,0.07,0.62,,0.04,0.02,0.0,,
TURKMENISTAN,0.0,0.01,0.0,0.0,,0.0,0.01,0.01,0.01,0.02,0.02,0.0,,0.0,0.03,0.0,,0.02,0.01,,,,,,,
UGANDA,0.16,0.13,0.13,0.15,0.11,0.17,0.24,0.21,0.33,0.37,0.45,0.74,0.3,0.23,0.42,0.38,0.19,0.25,0.24,0.24,0.08,0.05,0.02,0.05,0.11,0.16
U ARAB EMTS,117.96,20.72,9.16,13.3,22.07,19.41,34.62,25.94,27.56,44.55,36.95,46.97,48.75,41.72,44.67,22.95,16.07,7.95,5.06,17.37,15.17,17.24,9.44,8.56,6.88,6.68
U K,3.7,4.3,3.29,2.65,3.35,2.34,1.82,2.35,1.38,1.96,0.95,3.06,1.62,1.86,3.26,1.34,0.97,0.65,0.65,0.78,0.92,0.46,0.56,0.23,0.51,0.68
UKRAINE,0.14,0.23,0.32,0.36,0.26,0.17,0.22,0.07,0.15,0.23,0.33,0.2,0.11,0.02,0.36,0.6,0.68,0.29,1.05,0.4,0.27,0.29,0.39,0.23,0.17,0.61
U S A,24.49,26.94,23.14,17.7,18.44,11.75,7.92,9.26,10.29,8.3,6.32,5.25,4.56,3.82,3.54,2.12,2.38,2.32,1.88,2.5,1.05,1.78,2.21,1.49,0.82,0.98
URUGUAY,0.0,0.03,0.01,0.01,,,,,,,0.0,0.0,,,0.02,,,0.0,,,,,,,,
UZBEKISTAN,0.17,1.02,0.39,0.15,0.06,0.2,0.08,0.03,0.01,0.16,0.05,0.01,0.1,0.0,,0.01,0.02,0.06,0.03,0.04,0.04,0.08,0.11,0.21,0.12,0.17
VANUATU REP,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
VENEZUELA,0.46,0.1,0.09,0.04,0.03,0.0,0.02,0.1,,0.02,0.13,0.0,0.02,0.02,0.04,0.0,0.03,0.06,0.03,0.05,0.02,0.12,0.07,0.03,,
VIETNAM SOC REP,0.78,2.88,0.87,0.84,0.55,0.57,0.28,0.11,0.03,0.14,0.04,0.28,0.1,0.09,0.04,0.08,0.06,0.06,0.08,0.02,,0.02,0.0,,,
